pays,annee,PIB
Argentina,1970,31584210365.54465
Argentina,1971,33293199095.488117
Argentina,1972,34733000536.28621
Argentina,1973,52544000116.90373
Argentina,1974,72436777342.45541
Argentina,1975,52438647921.9226
Argentina,1976,51169499890.77222
Argentina,1977,56781000100.944824
Argentina,1978,58082870156.26343
Argentina,1979,69252328953.37886
Argentina,1980,76961923741.94785
Argentina,1981,78676842366.42133
Argentina,1982,84307486836.72403
Argentina,1983,103979106777.91103
Argentina,1984,79092001998.03204
Argentina,1985,88416668900.25958
Argentina,1986,110934442762.69356
Argentina,1987,111106191358.19745
Argentina,1988,126206817196.09116
Argentina,1989,76636898036.47119
Argentina,1990,141352368714.6913
Argentina,1991,189719984268.48453
Argentina,1992,228788617201.69592
Argentina,1993,236741715015.015
Argentina,1994,257440000000.0
Argentina,1995,258031750000.0
Argentina,1996,272149750000.0
Argentina,1997,292859000000.0
Argentina,1998,298948250000.0
Argentina,1999,283523000000.0
Argentina,2000,284203750000.0
Argentina,2001,268696750000.0
Argentina,2002,97724004251.8602
Argentina,2003,127586973492.17664
Argentina,2004,164657930452.78662
Argentina,2005,198737095012.28165
Argentina,2006,232557260817.3077
Argentina,2007,287530508430.568
Argentina,2008,361558037110.41925
Australia,1970,41304737372.60612
Australia,1971,45183111210.66189
Australia,1972,52003504672.897194
Australia,1973,63782190903.267136
Australia,1974,88906411201.17908
Australia,1975,97226546497.33716
Australia,1976,104974158578.09152
Australia,1977,110266116081.6701
Australia,1978,118400631626.43806
Australia,1979,134793820288.53801
Australia,1980,149887465181.0585
Australia,1981,176804829908.2782
Australia,1982,193954540439.1482
Australia,1983,177176415535.79785
Australia,1984,193503894222.06122
Australia,1985,180470967247.06604
Australia,1986,182281757134.8629
Australia,1987,189375992588.67123
Australia,1988,236135768335.27356
Australia,1989,299941372852.3736
Australia,1990,311425933051.1735
Australia,1991,326068597441.3311
Australia,1992,325692532492.5017
Australia,1993,312372821810.0056
Australia,1994,323216879972.32794
Australia,1995,368391743391.7434
Australia,1996,401819423368.7405
Australia,1997,436097980904.67993
Australia,1998,399778878111.64624
Australia,1999,389146509587.6676
Australia,2000,415446209885.0719
Australia,2001,378899860470.1084
Australia,2002,394635830891.5864
Australia,2003,466853232382.0617
Australia,2004,613329776639.6359
Australia,2005,693764095624.718
Australia,2006,747572626534.8907
Australia,2007,853764622752.6105
Australia,2008,1055334825425.2462
Austria,1970,15373005768.721884
Austria,1971,17858485956.60315
Austria,1972,22059612417.4058
Austria,1973,29515467987.91201
Austria,1974,35189299985.276794
Austria,1975,40059206763.056015
Austria,1976,42959976068.11383
Austria,1977,51545759220.71434
Austria,1978,62052258694.21018
Austria,1979,73937296654.65775
Austria,1980,82058912465.43288
Austria,1981,71034228097.45982
Austria,1982,71275287327.57925
Austria,1983,72121016623.25725
Austria,1984,67985345161.95585
Austria,1985,69386774474.5943
Austria,1986,99036165209.55386
Austria,1987,124168442860.2525
Austria,1988,133339397080.12927
Austria,1989,133105805928.23712
Austria,1990,166463386663.43942
Austria,1991,173794177725.39777
Austria,1992,195078126346.10568
Austria,1993,190379720927.48135
Austria,1994,203535242741.83835
Austria,1995,241038283062.64502
Austria,1996,237250948791.26593
Austria,1997,212790348404.55518
Austria,1998,218259904401.95642
Austria,1999,217185787342.85104
Austria,2000,196799778883.361
Austria,2001,197337879194.6309
Austria,2002,213377771503.85846
Austria,2003,261695778781.03836
Austria,2004,300904221504.8423
Austria,2005,315974418604.6511
Austria,2006,335998557270.1041
Austria,2007,388691445387.35284
Austria,2008,430294287388.31116
Azerbaijan,1970,
Azerbaijan,1971,
Azerbaijan,1972,
Azerbaijan,1973,
Azerbaijan,1974,
Azerbaijan,1975,
Azerbaijan,1976,
Azerbaijan,1977,
Azerbaijan,1978,
Azerbaijan,1979,
Azerbaijan,1980,
Azerbaijan,1981,
Azerbaijan,1982,
Azerbaijan,1983,
Azerbaijan,1984,
Azerbaijan,1985,
Azerbaijan,1986,
Azerbaijan,1987,
Azerbaijan,1988,
Azerbaijan,1989,
Azerbaijan,1990,8858006035.915659
Azerbaijan,1991,8792365810.509403
Azerbaijan,1992,4991350457.542502
Azerbaijan,1993,3973027396.651947
Azerbaijan,1994,3313739673.547376
Azerbaijan,1995,3052467522.3610435
Azerbaijan,1996,3176749593.11788
Azerbaijan,1997,3962710163.1116686
Azerbaijan,1998,4446396217.632653
Azerbaijan,1999,4581222442.457831
Azerbaijan,2000,5272617196.045174
Azerbaijan,2001,5707720390.851498
Azerbaijan,2002,6235795103.888089
Azerbaijan,2003,7276013031.969049
Azerbaijan,2004,8680472168.515314
Azerbaijan,2005,13245716099.005713
Azerbaijan,2006,20983019923.886276
Azerbaijan,2007,33050343782.7759
Azerbaijan,2008,48852482960.077896
Bahrain,1970,
Bahrain,1971,
Bahrain,1972,
Bahrain,1973,
Bahrain,1974,
Bahrain,1975,
Bahrain,1976,
Bahrain,1977,
Bahrain,1978,
Bahrain,1979,
Bahrain,1980,3072698328.46909
Bahrain,1981,3467819148.936171
Bahrain,1982,3645744680.8510637
Bahrain,1983,3735106382.9787235
Bahrain,1984,3905585106.382978
Bahrain,1985,3651861702.12766
Bahrain,1986,3052393617.0212765
Bahrain,1987,3392021010.638298
Bahrain,1988,3702393617.021276
Bahrain,1989,3863563829.787234
Bahrain,1990,4229787234.042554
